ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,294,12,T:System.Windows.Controls.Slider,,,,,this.sliderPeriod.ValueChanged += new System.Windows.RoutedPropertyChangedEventHandler<double>(this.SliderPeriod_ValueChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,294,12,E:System.Windows.Controls.Primitives.RangeBase.ValueChanged,,,,,this.sliderPeriod.ValueChanged += new System.Windows.RoutedPropertyChangedEventHandler<double>(this.SliderPeriod_ValueChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,291,12,T:System.Windows.Controls.Slider,,,,,this.sliderPeriod = ((System.Windows.Controls.Slider)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,288,12,T:System.Windows.Controls.Label,,,,,this.isPeriodLBL = ((System.Windows.Controls.Label)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,282,12,T:System.Windows.Controls.CheckBox,,,,,this.isPeriod.Unchecked += new System.Windows.RoutedEventHandler(this.IsPeriod_Unchecked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,282,12,T:System.Windows.RoutedEventHandler,,,,,this.isPeriod.Unchecked += new System.Windows.RoutedEventHandler(this.IsPeriod_Unchecked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,282,12,T:System.Windows.RoutedEventHandler,,,,,this.isPeriod.Unchecked += new System.Windows.RoutedEventHandler(this.IsPeriod_Unchecked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,282,12,E:System.Windows.Controls.Primitives.ToggleButton.Unchecked,,,,,this.isPeriod.Unchecked += new System.Windows.RoutedEventHandler(this.IsPeriod_Unchecked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,276,12,T:System.Windows.Controls.CheckBox,,,,,this.isPeriod.Checked += new System.Windows.RoutedEventHandler(this.IsPeriod_Checked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,276,12,T:System.Windows.RoutedEventHandler,,,,,this.isPeriod.Checked += new System.Windows.RoutedEventHandler(this.IsPeriod_Checked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,276,12,T:System.Windows.RoutedEventHandler,,,,,this.isPeriod.Checked += new System.Windows.RoutedEventHandler(this.IsPeriod_Checked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,276,12,E:System.Windows.Controls.Primitives.ToggleButton.Checked,,,,,this.isPeriod.Checked += new System.Windows.RoutedEventHandler(this.IsPeriod_Checked);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,273,12,T:System.Windows.Controls.CheckBox,,,,,this.isPeriod = ((System.Windows.Controls.CheckBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,270,12,T:System.Windows.Controls.ComboBox,,,,,this.priorityCombo = ((System.Windows.Controls.ComboBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,267,12,T:System.Windows.Controls.CheckBox,,,,,this.enabledCB = ((System.Windows.Controls.CheckBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,264,12,T:System.Windows.Controls.TextBox,,,,,this.pagesTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,261,12,T:System.Windows.Controls.TextBox,,,,,this.pathTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,258,12,T:System.Windows.Controls.TextBox,,,,,this.extansionTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,255,12,T:System.Windows.Controls.TextBox,,,,,this.filenameTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,252,12,T:System.Windows.Controls.TextBox,,,,,this.pkgNameTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,249,12,T:System.Windows.Controls.TextBox,,,,,this.dAuthorTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,246,12,T:System.Windows.Controls.TextBox,,,,,this.hostTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,243,12,T:System.Windows.Controls.TextBox,,,,,this.dUrlTXT = ((System.Windows.Controls.TextBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,237,12,T:System.Windows.RoutedEventHandler,,,,,((DownloadComics.windows.setting.SettingsWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,237,12,T:System.Windows.RoutedEventHandler,,,,,((DownloadComics.windows.setting.SettingsWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,237,12,E:System.Windows.FrameworkElement.Loaded,,,,,((DownloadComics.windows.setting.SettingsWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,219,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,219,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,216,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/DownloadComics;component/windows/settingwindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,216,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/DownloadComics;component/windows/settingwindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,199,50,T:System.Windows.Controls.ListView,,,,,hostList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,191,50,T:System.Windows.Controls.ComboBox,,,,,settingCB
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,183,48,T:System.Windows.Controls.Button,,,,,removeBtn
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,175,48,T:System.Windows.Controls.Button,,,,,addBtn
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,167,49,T:System.Windows.Controls.TextBox,,,,,itemTXT
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,159,48,T:System.Windows.Controls.Button,,,,,updataBTN
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,151,47,T:System.Windows.Controls.Label,,,,,periodLBL
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DownloadComics\DownloadComics.csproj,File,DownloadComics\obj\Debug\net8.0-windows7.0\windows\SettingWindow.g.i.cs,143,48,T:System.Windows.Controls.Slider,,,,,sliderPeriod
